10 46,2 53,7 51,5 46,2 52,1 50,5 
5030 41,3 50,5 51,5 44,5 50,5 48,3 
5040 40,8 50,5 51,5 45,1 49,4 48,3 
5050 40,8 50,5 51,5 44,0 49,9 48,3 
5060 40,8 50,5 51,5 44,0 49,9 48,3 
5070 40,8 50,5 51,5 44,5 49,4 48,3 
5080 40,8 50,5 51,5 44,5 49,4 48,3 
5090 40,8 50,5 51,5 44,0 49,9 48,3 
5100 40,8 50,5 51,5 45,1 50,5 48,3 
5110 40,8 50,5 51,5 44,5 49,4 48,3 
5120 40,8 50,5 52,1 44,0 49,9 48,3 
5130 40,8 50,5 51,5 44,0 49,4 48,3 
5140 40,8 51,0 51,5 44,5 49,9 48,3 
5150 41,3 51,0 51,5 44,0 49,9 48,3 
5160 40,8 51,0 51,5 44,5 49,9 48,3 
5170 40,8 50,5 51,5 44,0 49,9 48,3 
5180 40,8 50,5 51,5 44,0 50,5 48,3 
5190 40,8 50,5 52,1 45,1 49,9 48,9 
5200 40,8 50,5 51,5 44,5 50,5 48,3 
5210 40,8 50,5 51,5 45,1 49,9 48,3 
5220 40,8 50,5 52,1 45,1 49,4 48,9 
5230 41,3 50,5 51,5 44,5 49,9 48,3 
5240 40,8 50,5 51,5 45,1 49,9 48,3 
5250 40,8 50,5 52,1 44,5 49,4 48,3 
5260 40,8 50,5 51,0 44,5 50,5 47,8 
5270 40,8 51,0 52,1 44,5 49,9 48,3 
5280 40,8 51,0 51,5 44,5 49,9 48,3 
5290 40,8 50,5 51,5 44,0 49,4 48,3 
5300 40,8 51,5 51,5 44,5 49,9 48,3 
5310 40,8 50,5 52,1 44,5 49,9 48,3 
5320 40,8 50,5 52,1 44,5 49,4 48,9 
5330 40,8 50,5 51,5 44,5 50,5 48,3 
5340 40,8 49,9 51,5 44,0 49,9 48,3 
5350 40,8 50,5 51,5 44,0 49,4 48,3 
5360 41,3 50,5 51,5 44,5 49,4 48,3 
5370 40,8 50,5 51,5 44,5 50,5 48,3 
5380 40,8 49,9 51,5 44,5 49,4 48,3 
5390 40,8 51,0 51,5 44,0 49,4 48,3 
5400 40,8 50,5 51,5 44,5 49,9 48,3 
5410 40,8 50,5 51,5 44,5 50,5 48,3 
5420 40,8 50,5 52,1 44,0 49,9 48,3 
5430 40,8 50,5 51,5 44,0 49,9 48,3 
5440 40,8 50,5 51,5 44,5 49,9 48,3 
5450 40,2 50,5 51,5 44,5 50,5 48,3 
5460 39,7 50,5 51,5 44,0 49,4 48,3 
5470 40,8 50,5 51,5 45,1 49,9 47,2 
5480 40,8 50,5 51,5 44,0 49,4 48,3 
5490 40,8 49,9 52,1 44,5 49,4 48,3 
5500 40,8 50,5 51,5 44,0 49,9 47,8 
5510 40,8 50,5 52,1 44,0 50,5 48,3 
5520 40,8 50,5 51,5 44,0 49,9 48,3 
5530 40,8 50,5 51,5 44,0 49,9 48,3 
5540 40,8 50,5 51,5 44,5 50,5 48,3 
5550 40,8 50,5 51,5 44,0 49,4 48,3 
5560 40,8 50,5 51,5 44,5 49,4 48,3 
5570 40,8 50,5 51,5 44,0 49,4 48,3 
5580 40,8 50,5 51,5 45,1 49,9 48,3 
5590 40,8 51,0 51,5 44,5 49,9 48,3 
5600 40,8 50,5 51,5 45,1 49,4 48,3 
5610 40,8 50,5 51,5 44,0 49,9 48,3 
5620 40,8 50,5 51,5 44,5 49,4 48,3 
5630 40,8 50,5 51,5 43,5 49,4 48,3 
5640 40,8 50,5 52,1 44,0 49,4 48,3 
5650 40,8 49,9 51,0 44,0 49,4 48,3 
5660 40,8 49,9 52,1 45,1 50,5 48,3 
5670 40,8 49,9 51,5 44,0 50,5 48,3 
5680 40,8 50,5 51,5 44,5 49,4 48,3 
5690 40,2 50,5 51,5 44,0 49,9 48,3 
5700 40,8 50,5 52,1 45,1 49,9 48,3 
5710 40,8 50,5 51,0 44,5 49,9 48,3 
5720 40,8 50,5 51,5 44,5 49,4 48,3 
5730 40,8 50,5 51,5 44,0 49,4 48,3 
5740 40,8 50,5 51,5 44,0 49,4 48,3 
5750 40,8 50,5 51,0 44,0 49,4 48,3 
5760 40,2 50,5 51,5 44,5 49,9 47,8 
5770 40,8 50,5 51,5 45,1 49,9 48,3 
5780 40,8 50,5 51,5 44,5 49,4 48,3 
5790 40,8 50,5 51,5 44,0 49,4 48,3 
5800 40,8 49,9 51,5 45,1 50,5 48,3 
5810 40,8 49,9 51,5 44,0 49,9 48,3 
5820 40,8 49,9 51,5 44,0 49,4 48,3 
5830 40,8 50,5 51,5 44,5 49,4 48,3 
5840 40,8 50,5 51,5 44,5 49,4 48,3 
5850 40,8 50,5 51,5 44,0 49,9 48,3 
5860 40,8 50,5 51,5 44,5 49,4 48,3 
5870 40,8 50,5 52,1 44,0 49,9 48,3 
5880 40,8 50,5 51,5 44,0 49,9 48,3 
5890 40,8 50,5 51,5 44,5 49,9 48,3 
5900 40,8 50,5 51,0 44,5 49,4 48,3 
5910 40,8 50,5 51,5 44,0 49,4 48,3 
5920 40,8 50,5 51,5 44,5 49,9 48,3 
5930 40,8 51,0 51,0 44,5 49,4 47,8 
5940 40,8 51,0 51,0 44,5 49,4 48,3 
5950 40,8 49,9 51,0 44,0 49,9 48,3 
5960 40,8 50,5 51,0 44,0 49,9 47,8 
5970 40,8 50,5 51,5 44,0 49,9 48,3 
5980 40,8 50,5 51,5 44,5 49,9 47,8 
5990 40,8 49,9 51,5 44,0 49,4 48,3 
6000 40,8 50,5 51,5 44,0 49,9 48,3 
6010 40,8 50,5 51,5 44,0 49,4 48,3 
6020 40,8 50,5 51,5 44,0 49,4 48,3 
6030 40,8 50,5 51,5 44,5 49,4 48,3 
6040 40,8 50,5 51,0 44,0 49,4 48,3 
6050 40,8 49,9 51,5 44,5 49,4 48,3 
6060 40,8 50,5 51,5 44,0 49,4 48,3 
6070 40,8 50,5 51,5 44,5 49,4 48,3 
6080 41,3 50,5 51,5 44,0 50,5 48,3 
6090 40,8 50,5 51,5 44,5 50,5 48,3 
6100 40,8 50,5 51,5 44,0 49,4 48,3 
6110 40,8 50,5 51,5 44,0 49,9 48,3 
6120 40,8 50,5 51,5 44,0 49,9 48,3 
6130 40,8 50,5 51,5 44,5 49,4 48,3 
6140 40,8 50,5 51,5 44,0 49,9 48,3 
6150 40,8 49,9 51,5 44,0 49,4 48,3 
6160 40,8 50,5 51,5 44,5 49,4 48,3 
6170 40,8 51,0 51,5 44,0 49,4 48,3 
6180 40,8 49,9 51,5 44,5 49,4 48,3 
6190 40,8 49,9 51,5 44,5 49,4 47,8 
6200 40,8 49,9 51,5 44,5 50,5 47,8 
6210 40,8 49,9 52,1 44,5 49,9 48,3 
6220 40,8 49,9 51,5 44,0 49,4 48,3 
6230 40,8 50,5 51,5 44,0 49,4 48,3 
6240 40,8 50,5 51,5 44,5 49,9 48,3 
6250 40,8 50,5 51,5 44,5 49,4 48,3 
6260 40,8 50,5 51,5 44,0 49,4 48,3 
6270 40,8 50,5 52,1 44,0 49,9 48,3 
6280 41,3 49,9 51,5 44,0 49,9 47,8 
6290 40,8 49,9 51,5 44,5 49,9 48,3 
6300 40,8 50,5 51,5 44,0 49,4 48,3 
6310 40,8 50,5 51,5 44,5 49,9 48,3 
6320 40,2 50,5 51,5 44,0 49,9 48,3 
6330 40,8 49,9 51,5 44,0 49,4 48,3 
6340 40,2 50,5 51,5 44,0 49,4 47,8 
6350 39,7 49,9 52,1 44,5 49,4 48,3 
6360 40,8 50,5 51,5 44,0 49,4 48,3 
6370 40,8 50,5 51,5 44,5 50,5 48,3 
6380 40,8 50,5 51,5 44,5 49,4 48,3 
6390 40,8 49,9 52,1 44,5 49,4 48,3 
6400 40,2 50,5 52,1 44,0 49,4 48,3 
6410 40,8 50,5 51,5 45,1 49,9 47,8 
6420 40,8 49,9 52,1 44,0 49,9 48,3 
6430 40,8 50,5 51,5 44,5 49,4 48,3 
6440 40,8 50,5 51,5 44,0 49,4 47,8 
6450 40,8 50,5 51,5 44,0 49,4 48,3 
6460 40,8 49,9 51,5 44,5 49,4 48,3 
6470 40,8 49,4 51,5 45,1 49,4 48,9 
6480 40,8 50,5 51,5 44,5 49,4 48,3 
6490 40,8 49,9 51,5 44,5 49,9 48,3 
6500 40,8 50,5 51,5 44,0 49,4 48,3 
6510 40,8 50,5 51,5 44,0 49,4 48,3 
6520 40,8 50,5 51,5 44,5 49,9 48,3 
6530 40,8 50,5 51,5 44,5 49,4 48,3 
6540 40,8 49,9 50,5 44,0 49,9 48,3 
6550 40,2 50,5 51,5 44,0 49,4 47,8 
6560 40,2 50,5 51,5 44,0 49,4 48,3 
6570 40,8 50,5 50,5 44,0 49,9 48,3 
6580 40,8 50,5 51,5 44,0 49,4 48,3 
6590 40,8 50,5 51,0 44,0 49,9 48,3 
6600 40,8 50,5 51,5 44,0 49,4 48,3 
6610 40,8 49,9 51,5 44,0 49,4 48,3 
6620 40,8 50,5 51,5 44,5 49,9 48,3 
6630 40,8 50,5 51,5 44,5 49,4 48,3 
6640 40,8 50,5 51,5 44,0 49,4 47,8 
6650 40,8 50,5 51,5 44,5 49,4 48,3 
6660 40,8 49,9 52,1 44,0 49,9 48,3 
6670 40,8 49,9 51,5 44,0 49,4 48,3 
6680 40,8 50,5 51,5 44,5 49,4 48,3 
6690 40,8 49,9 51,5 44,0 49,9 47,8 
6700 40,8 50,5 51,5 44,5 49,4 48,3 
6710 40,2 49,9 51,5 44,5 49,4 48,3 
6720 40,8 50,5 51,5 44,5 49,9 47,8 
6730 40,8 50,5 51,0 44,0 49,4 48,9 
6740 40,8 49,9 51,0 45,1 49,4 48,3 
6750 40,2 49,9 51,5 44,0 49,9 48,3 
6760 40,8 49,9 51,5 44,0 49,9 47,8 
6770 40,8 49,9 51,5 44,0 49,9 48,3 
6780 40,8 50,5 51,5 44,5 49,4 48,3 
6790 40,8 49,9 51,5 44,5 49,4 48,3 
6800 40,8 49,9 52,1 44,0 49,4 48,3 
6810 40,2 50,5 50,5 44,5 49,4 47,8 
6820 40,8 50,5 51,0 44,5 49,4 48,3 
6830 40,8 50,5 51,5 44,0 49,4 48,3 
6840 40,8 49,9 51,0 44,5 49,4 47,8 
6850 40,8 50,5 51,5 44,0 49,4 48,3 
6860 40,8 50,5 51,5 44,0 50,5 48,3 
6870 40,8 51,0 51,5 44,5 49,9 48,3 
6880 40,8 49,9 51,5 44,0 49,9 48,3 
6890 40,8 50,5 51,5 44,0 49,4 48,3 
6900 40,8 50,5 51,5 44,0 49,9 48,3 
6910 40,8 50,5 51,0 44,5 49,4 48,3 
6920 40,8 50,5 51,5 44,0 49,4 48,3 
6930 40,2 50,5 51,5 44,0 49,4 48,3 
6940 40,8 49,4 51,5 44,5 49,9 48,3 
6950 40,8 49,9 51,5 44,0 49,4 48,3 
6960 40,8 50,5 51,5 44,0 49,4 47,8 
6970 40,8 50,5 51,5 44,0 49,4 48,3 
6980 39,7 49,9 51,5 44,0 49,4 48,3 
6990 40,8 50,5 51,5 44,0 49,4 47,8 
7000 40,8 50,5 51,5 44,5 49,9 48,3 
7010 40,8 50,5 51,5 44,0 49,4 48,3 
7020 40,8 50,5 51,5 44,0 49,4 48,3 
7030 40,8 50,5 51,0 44,5 49,4 48,3 
7040 40,8 50,5 51,5 43,5 49,9 48,3 
7050 40,8 50,5 51,5 44,0 49,4 48,3 
7060 40,8 49,9 51,5 44,0 49,4 48,3 
7070 40,8 50,5 51,5 44,0 49,4 48,3 
7080 40,2 50,5 51,5 44,0 49,9 48,3 
7090 40,2 50,5 51,5 44,0 49,4 48,3 
7100 40,8 50,5 51,0 44,5 49,9 48,3 
7110 39,7 50,5 51,5 44,0 49,9 48,3 
7120 40,8 49,9 51,5 44,0 49,4 48,3 
7130 40,8 50,5 51,5 44,5 49,4 48,3 
7140 40,8 50,5 51,5 44,0 49,4 48,3 
7150 40,8 50,5 51,5 44,5 49,9 47,8 
7160 40,8 50,5 51,5 45,1 49,4 48,3 
7170 40,8 50,5 51,5 44,5 49,4 48,3 
7180 40,8 50,5 51,5 44,0 49,4 48,3 
7190 40,8 50,5 51,5 44,5 49,4 48,3 
7200 40,8 49,9 51,5 44,0 49,4 48,3 
7210 40,2 50,5 51,5 44,0 50,5 47,8 
7220 40,2 49,9 51,5 45,1 49,9 48,3 
7230 40,8 49,9 51,5 44,0 49,4 48,3 
7240 40,8 50,5 51,5 44,0 49,4 48,3 
7250 40,8 50,5 51,5 44,0 49,9 48,3 
7260 40,8 49,4 51,0 45,1 49,4 48,3 
7270 40,8 50,5 51,5 44,0 49,9 47,8 
7280 40,8 50,5 51,5 44,0 49,4 48,3 
7290 41,3 49,9 51,5 44,0 49,4 48,3 
7300 40,8 50,5 51,5 44,0 49,4 47,8 
7310 40,8 50,5 51,5 44,0 49,4 48,3 
7320 40,8 50,5 51,5 44,5 49,4 47,8 
7330 40,8 50,5 51,5 44,0 49,9 48,3 
7340 40,8 50,5 51,5 44,0 49,4 47,8 
7350 40,2 50,5 51,5 44,0 49,4 48,3 
7360 40,8 50,5 51,5 44,0 49,4 48,3 
7370 40,8 50,5 51,5 44,0 49,4 48,3 
7380 40,8 50,5 51,5 44,5 49,4 48,3 
7390 41,3 49,9 51,0 44,0 49,4 48,3 
7400 40,8 50,5 52,1 44,0 49,9 48,9 
7410 40,8 50,5 51,0 44,0 49,4 48,3 
7420 40,8 50,5 51,0 44,0 49,4 48,3 
7430 40,8 50,5 51,5 44,0 49,4 48,3 
7440 40,8 50,5 51,5 44,5 49,9 48,3 
7450 40,8 50,5 51,5 44,0 49,4 48,3 
7460 40,8 50,5 51,0 44,5 49,9 48,3 
7470 40,8 50,5 51,5 44,0 49,4 48,3 
7480 40,8 50,5 51,5 44,5 49,4 48,3 
7490 39,7 50,5 51,5 44,0 50,5 48,3 
7500 40,8 49,9 51,5 44,0 50,5 48,3 
7510 40,8 50,5 51,5 44,0 49,4 48,3 
7520 40,8 50,5 51,5 44,0 49,9 48,3 
7530 40,8 49,9 51,5 44,0 49,9 48,3 
7540 40,8 50,5 51,5 44,0 49,4 48,3 
7550 40,8 50,5 51,5 44,0 49,9 48,3 
7560 40,8 50,5 51,5 44,0 49,4 48,3 
7570 40,2 50,5 51,5 44,0 50,5 48,3 
7580 40,8 50,5 51,5 44,0 49,4 47,8 
7590 40,8 49,4 51,5 44,0 49,4 48,3 
7600 40,8 49,9 51,5 44,0 50,5 48,3 
7610 41,3 50,5 51,5 44,0 49,4 48,3 
7620 40,8 50,5 51,0 44,0 49,4 48,3 
7630 40,8 49,9 51,5 44,5 49,4 48,3 
7640 40,8 49,9 51,5 44,0 49,4 48,3 
7650 40,2 50,5 51,5 44,0 49,4 48,3 
7660 40,8 50,5 51,5 44,5 49,4 48,3 
7670 40,8 50,5 51,5 44,5 49,4 48,3 
7680 40,8 49,9 51,5 44,5 49,9 48,3 
7690 40,8 50,5 51,5 44,5 49,9 48,3 
7700 40,8 50,5 51,5 45,1 49,9 48,3 
7710 40,8 50,5 52,1 44,0 49,9 48,3 
7720 41,3 50,5 51,5 44,0 50,5 48,3 
7730 40,8 50,5 51,5 44,0 49,4 48,3 
7740 40,8 50,5 51,0 44,0 49,4 48,3 
7750 40,8 50,5 51,5 44,5 49,9 48,3 
7760 40,8 50,5 51,5 44,0 49,9 48,3 
7770 40,8 50,5 51,0 44,0 49,4 48,3 
7780 40,8 50,5 51,5 44,5 50,5 48,9 
7790 40,8 49,4 51,5 44,0 49,4 48,3 
7800 40,8 50,5 51,5 44,5 49,4 48,3 
7810 40,2 49,4 51,5 44,0 49,9 48,3 
7820 40,8 50,5 51,5 44,0 50,5 48,3 
7830 40,8 50,5 51,5 44,5 49,4 48,3 
7840 40,8 50,5 51,5 44,5 49,9 48,3 
7850 40,8 51,0 51,5 44,0 49,9 48,3 
7860 40,8 50,5 51,0 44,0 49,9 47,8 
7870 40,8 50,5 51,5 44,0 49,9 48,3 
7880 40,2 50,5 51,5 45,1 49,9 48,3 
7890 40,8 51,0 51,5 44,0 49,9 48,3 
7900 40,8 50,5 51,5 44,0 49,4 48,3 
7910 40,8 50,5 51,5 44,5 49,9 48,3 
7920 40,2 50,5 51,5 44,5 49,4 48,3 
7930 40,8 50,5 51,5 44,0 50,5 48,3 
7940 40,8 50,5 51,5 44,5 49,4 47,8 
7950 40,8 50,5 51,5 44,0 49,9 48,3 
7960 40,8 50,5 51,5 44,0 49,9 48,3 
7970 40,8 51,0 51,0 44,5 49,4 48,3 
7980 40,8 50,5 51,0 44,0 49,9 48,3 
7990 40,8 50,5 51,5 44,5 49,9 48,3 
8000 41,3 50,5 51,5 44,5 49,9 48,3 
8010 40,8 50,5 51,5 44,0 49,9 48,3 
8020 40,8 50,5 51,5 44,5 49,9 48,3 
8030 40,8 50,5 51,5 44,0 49,9 48,3 
8040 40,8 49,4 51,0 44,5 50,5 48,3 
8050 40,8 50,5 51,5 44,0 49,4 48,3 
8060 40,8 50,5 51,0 44,5 49,9 48,3 
8070 40,8 50,5 51,5 44,5 49,4 48,3 
8080 40,8 50,5 51,5 44,0 49,9 48,3 
8090 40,8 49,9 51,5 44,5 49,9 48,3 
8100 40,8 50,5 51,5 44,5 49,4 48,3 
8110 40,8 50,5 51,5 44,5 49,4 48,3 
8120 40,8 50,5 51,5 44,5 50,5 48,3 
8130 40,8 50,5 51,5 44,5 50,5 48,3 
8140 40,8 50,5 51,5 44,5 49,9 48,3 
8150 40,8 50,5 51,5 45,1 49,4 48,3 
8160 40,8 50,5 51,5 44,5 50,5 47,8 
8170 40,8 50,5 51,5 44,5 49,9 48,3 
8180 40,8 49,9 51,5 44,5 49,9 48,3 
8190 40,8 50,5 51,5 44,0 49,9 48,3 
8200 40,8 50,5 51,5 44,0 49,4 47,8 
8210 40,8 51,0 51,5 44,5 50,5 48,3 
8220 40,8 49,9 51,5 44,0 49,9 48,3 
8230 40,8 50,5 51,5 44,0 49,9 48,3 
8240 40,8 49,9 51,5 44,5 49,9 47,8 
8250 40,8 50,5 51,5 44,0 49,9 48,3 
8260 40,8 50,5 51,5 45,1 49,9 48,3 
8270 40,8 50,5 52,1 44,0 49,9 48,3 
8280 40,8 49,9 51,5 44,0 49,4 48,3 
8290 40,8 51,0 51,5 44,0 49,9 47,8 
8300 41,3 50,5 51,5 44,5 49,9 48,3 
8310 40,8 50,5 51,5 44,0 49,9 48,3 
8320 39,7 50,5 51,5 45,1 49,9 48,9 
8330 40,8 49,4 51,5 44,5 50,5 48,3 
8340 41,3 50,5 51,5 44,5 49,9 48,3 
8350 40,8 50,5 51,5 44,5 48,3 48,9 
8360 40,8 49,9 51,5 44,5 49,9 48,9 
8370 40,8 50,5 51,5 44,5 49,9 48,3 
8380 40,8 50,5 51,5 44,5 49,9 48,3 
8390 40,8 50,5 51,5 44,0 49,9 48,3 
8400 40,8 50,5 51,5 45,1 49,4 48,3 
8410 40,8 50,5 51,5 44,5 49,9 48,3 
8420 40,8 50,5 51,5 44,5 49,4 48,3 
8430 41,3 50,5 51,5 45,1 49,4 48,3 
8440 40,8 50,5 51,5 44,0 49,9 48,3 
8450 40,8 50,5 51,5 44,0 49,4 48,3 
8460 40,8 51,0 51,5 44,5 49,9 48,3 
8470 40,8 50,5 51,5 44,5 49,9 48,3 
8480 40,8 50,5 51,0 44,0 50,5 48,3 
8490 40,2 50,5 52,1 44,0 49,9 48,3 
8500 40,8 49,9 51,5 44,5 49,9 48,3 
8510 40,8 50,5 51,5 44,0 50,5 48,3 
8520 40,8 50,5 51,5 45,1 49,4 48,3 
8530 40,8 50,5 51,5 45,1 49,9 48,3 
8540 40,8 50,5 51,5 44,5 49,4 48,3 
8550 40,8 50,5 51,5 45,1 49,9 48,3 
8560 40,8 50,5 51,5 45,1 50,5 48,3 
8570 40,8 50,5 51,5 44,5 49,9 48,3 
8580 40,8 50,5 51,5 44,5 50,5 47,8 
8590 41,3 50,5 51,5 45,1 50,5 47,8 
8600 40,8 50,5 52,1 45,1 49,9 48,3 
8610 40,8 50,5 52,1 44,5 50,5 48,3 
8620 40,2 50,5 51,5 44,0 49,9 48,3 
8630 40,8 50,5 51,5 44,5 49,9 48,3 
8640 40,8 50,5 51,5 44,0 49,9 48,3 
8650 40,8 50,5 51,5 44,0 50,5 48,3 
8660 40,8 50,5 51,5 44,5 49,9 48,3 
8670 40,8 51,0 51,5 44,5 49,9 48,3 
8680 40,8 50,5 51,5 44,5 49,9 47,8 
8690 41,3 50,5 51,5 45,1 49,9 48,3 
8700 40,8 51,0 51,5 44,5 49,4 48,9 
8710 41,3 50,5 51,5 44,5 50,5 48,9 
8720 40,8 50,5 51,5 45,1 50,5 48,3 
8730 40,8 51,5 51,5 44,0 50,5 48,3 
8740 40,8 50,5 51,5 44,5 50,5 48,9 
8750 40,8 50,5 51,5 45,1 49,9 48,3 
8760 40,8 50,5 51,5 44,5 50,5 48,3 
8770 41,3 50,5 51,5 45,1 49,9 48,3 
8780 41,3 50,5 51,5 44,0 50,5 48,3 
8790 40,8 50,5 51,5 44,0 49,4 48,3 
8800 40,8 50,5 51,5 45,1 50,5 48,3 
8810 40,8 50,5 51,5 44,0 49,4 48,3 
8820 40,8 49,9 51,5 45,1 49,4 48,3 
8830 40,8 50,5 51,5 44,5 49,4 48,3 
8840 40,8 51,0 51,5 44,5 49,9 48,9 
8850 40,8 50,5 51,5 44,0 50,5 48,3 
8860 40,8 49,9 51,5 45,1 49,9 48,3 
8870 40,8 49,9 51,5 45,1 50,5 48,3 
8880 40,8 50,5 51,5 45,1 50,5 48,3 
8890 40,8 50,5 51,5 44,5 49,9 48,9 
8900 40,8 50,5 51,5 44,5 49,9 48,3 
8910 40,8 50,5 51,5 45,1 49,9 49,4 
8920 40,8 50,5 51,5 45,1 50,5 48,3 
8930 41,3 49,9 51,5 45,1 50,5 48,3 
8940 40,2 50,5 52,1 44,0 49,9 48,3 
8950 40,8 50,5 51,5 44,0 49,4 48,3 
8960 40,8 50,5 51,5 44,0 49,4 48,3 
8970 40,8 50,5 51,5 45,1 49,9 48,9 
8980 40,8 50,5 51,5 45,1 50,5 48,3 
8990 40,8 50,5 51,5 45,1 49,9 48,3 
9000 40,8 50,5 51,5 45,1 49,9 48,3 
9010 40,8 50,5 51,5 44,5 50,5 48,3 
9020 40,8 49,9 51,5 44,0 50,5 48,3 
9030 40,8 50,5 51,5 45,1 49,4 48,3 
9040 40,8 50,5 51,5 44,0 49,9 48,3 
9050 40,8 50,5 51,5 45,1 49,9 48,3 
9060 40,8 50,5 51,0 44,5 49,4 48,3 
9070 40,8 50,5 50,5 44,5 50,5 48,3 
9080 40,8 49,9 52,1 45,1 50,5 48,3 
9090 40,8 50,5 51,5 45,1 50,5 48,3 
9100 41,3 50,5 51,5 45,1 49,9 48,3 
9110 40,8 50,5 52,1 44,5 50,5 48,3 
9120 40,8 50,5 51,5 45,1 50,5 49,4 
9130 40,2 50,5 51,5 44,5 49,9 48,3 
9140 40,8 50,5 52,1 45,1 50,5 48,3 
9150 40,8 50,5 51,5 44,5 49,4 48,3 
9160 41,3 50,5 51,5 45,1 50,5 48,9 
9170 41,3 50,5 52,1 44,5 49,4 48,3 
9180 40,8 50,5 51,5 44,5 49,9 48,9 
9190 40,8 50,5 51,5 44,5 49,9 48,9 
9200 40,8 51,5 52,1 44,5 49,9 48,9 
9210 40,8 50,5 51,5 45,1 50,5 48,3 
9220 40,8 50,5 51,5 44,5 50,5 48,3 
9230 40,8 50,5 51,5 44,0 49,9 48,3 
9240 41,3 50,5 51,5 44,0 50,5 48,3 
9250 40,8 50,5 51,5 44,5 50,5 48,3 
9260 40,8 50,5 52,1 45,1 49,9 48,3 
9270 40,8 50,5 51,5 45,1 49,9 48,3 
9280 40,8 50,5 51,5 45,1 50,5 48,9 
9290 40,8 50,5 52,1 44,5 50,5 48,9 
9300 40,8 50,5 51,5 45,1 49,9 48,3 
9310 40,8 50,5 51,5 45,1 49,9 48,3 
9320 40,8 50,5 51,5 44,0 50,5 48,3 
9330 40,8 50,5 52,1 45,1 49,9 48,9 
9340 40,8 50,5 51,5 45,1 49,9 48,3 
9350 40,8 50,5 51,5 44,5 49,9 48,3 
9360 40,8 50,5 52,1 45,1 49,9 48,9 
9370 40,8 51,0 51,5 44,0 50,5 48,3 
9380 40,8 50,5 51,5 45,1 50,5 48,9 
9390 40,8 51,0 52,1 44,5 49,9 48,9 
9400 40,8 49,9 51,5 45,1 49,9 48,3 
9410 40,8 50,5 51,5 45,1 50,5 48,9 
9420 40,8 50,5 51,5 45,1 50,5 48,3 
9430 40,8 51,0 52,1 45,1 50,5 48,3 
9440 40,8 51,0 51,5 45,1 49,4 48,3 
9450 40,8 50,5 52,1 45,1 49,4 48,9 
9460 40,8 50,5 51,5 45,1 49,9 48,3 
9470 40,8 50,5 51,5 45,1 50,5 48,3 
9480 41,3 50,5 51,5 45,1 50,5 48,3 
9490 40,8 50,5 51,5 45,1 49,9 48,9 
9500 40,8 50,5 52,1 45,1 49,9 48,3 
9510 40,8 51,5 52,1 45,1 49,4 48,3 
9520 40,8 50,5 52,1 45,1 50,5 48,3 
9530 40,8 50,5 51,5 45,1 50,5 48,3 
9540 40,8 51,0 51,5 45,1 50,5 48,3 
9550 40,8 51,0 52,1 45,1 50,5 48,9 
9560 41,3 50,5 51,5 44,5 50,5 48,3 
9570 40,8 50,5 51,5 45,1 50,5 48,3 
9580 41,3 50,5 52,1 45,1 50,5 48,3 
9590 40,8 50,5 51,5 45,1 50,5 48,3 
9600 40,8 50,5 51,5 45,1 49,9 48,3 
9610 40,8 51,0 51,5 45,1 50,5 48,9 
9620 40,8 50,5 51,5 45,1 50,5 48,3 
9630 40,8 51,0 51,5 45,1 50,5 48,3 
9640 40,8 50,5 51,5 44,5 50,5 48,3 
9650 40,8 50,5 51,5 45,1 51,0 48,9 
9660 40,8 50,5 52,6 44,5 49,9 48,9 
9670 40,8 51,5 51,5 44,5 49,9 48,9 
9680 40,8 51,0 51,5 45,1 50,5 48,3 
9690 40,8 51,0 51,5 45,1 50,5 48,9 
9700 40,8 50,5 52,1 45,1 50,5 49,4 
9710 40,8 50,5 52,1 45,1 49,9 48,3 
9720 40,8 50,5 51,5 45,1 50,5 48,9 
9730 40,8 50,5 52,1 45,1 50,5 48,3 
9740 40,8 50,5 52,1 44,5 50,5 48,3 
9750 41,3 51,0 51,5 45,1 50,5 48,9 
9760 41,3 50,5 51,5 45,1 49,9 49,4 
9770 40,8 50,5 52,1 45,1 50,5 48,9 
9780 40,8 50,5 52,1 45,1 50,5 48,3 
9790 41,3 50,5 51,5 45,1 50,5 48,9 
9800 40,8 50,5 52,1 45,1 50,5 48,3 
9810 40,8 50,5 52,1 45,1 50,5 48,3 
9820 40,8 50,5 52,6 45,1 50,5 48,3 
9830 40,8 51,0 52,1 45,1 50,5 48,3 
9840 41,3 51,0 52,1 45,1 50,5 49,4 
9850 40,8 50,5 51,5 44,5 50,5 48,3 
9860 40,8 51,5 51,5 45,1 50,5 49,4 
9870 40,8 50,5 52,1 45,1 49,4 48,9 
9880 40,8 50,5 52,1 45,1 50,5 48,3 
9890 40,8 50,5 51,5 45,1 50,5 48,3 
9900 41,9 50,5 52,1 45,1 49,9 48,3 
9910 41,3 50,5 51,5 45,1 50,5 48,3 
9920 41,3 50,5 52,1 45,1 49,9 49,4 
9930 40,8 51,0 52,1 45,1 50,5 48,9 
9940 40,8 50,5 52,1 45,1 50,5 49,4 
9950 40,8 51,0 52,1 44,5 50,5 48,9 
9960 40,8 50,5 52,1 45,1 50,5 48,9 
9970 40,8 51,0 51,5 45,1 50,5 49,4 
9980 40,8 51,0 52,1 45,1 50,5 48,3 
9990 41,3 50,5 52,1 45,1 50,5 48,9 
10000 40,8 50,5 52,1 45,1 50,5 48,3 
10010 40,8 50,5 52,1 45,1 50,5 48,3 
